x,y,biome,description
0,0,"residential","Neighborhood coffee shop"
1,0,"residential","Apartment complex parking area"
2,0,"residential","Neighborhood coffee shop"
3,0,"residential","Neighborhood coffee shop"
4,0,"commercial","Department store section"
5,0,"commercial","Shopping mall entrance"
6,0,"commercial","Movie theater ticket booth"
7,0,"industrial","Distribution center area"
8,0,"industrial","Factory parking lot"
9,0,"industrial","Industrial park office"
0,1,"residential","Apartment complex parking area"
1,1,"residential","Modern apartment building entrance"
2,1,"residential","Cozy single-family home with a white picket fence"
3,1,"residential","Suburban house with a well-kept lawn"
4,1,"commercial","Shopping mall entrance"
5,1,"commercial","Hotel front desk area"
6,1,"commercial","Hotel front desk area"
7,1,"industrial","Distribution center area"
8,1,"industrial","Industrial equipment yard"
9,1,"industrial","Factory entrance with security"
0,2,"residential","Neighborhood coffee shop"
1,2,"residential","Corner store with newspaper stand"
2,2,"residential","Tree-lined residential street"
3,2,"residential","Tree-lined residential street"
4,2,"commercial","Cafe with outdoor tables"
5,2,"commercial","Bustling shopping district storefront"
6,2,"commercial","Cafe with outdoor tables"
7,2,"industrial","Manufacturing plant section"
8,2,"industrial","Manufacturing facility section"
9,2,"industrial","Factory parking lot"
0,3,"residential","Corner store with newspaper stand"
1,3,"residential","Suburban house with a well-kept lawn"
2,3,"residential","Tree-lined residential street"
3,3,"residential","Apartment complex parking area"
4,3,"commercial","Hotel front desk area"
5,3,"commercial","Bank branch entrance"
6,3,"commercial","Department store section"
7,3,"industrial","Warehouse loading dock"
8,3,"industrial","Industrial equipment yard"
9,3,"industrial","Factory parking lot"
0,4,"residential","Cozy single-family home with a white picket fence"
1,4,"residential","Small park with a playground"
2,4,"residential","Historic brownstone building"
3,4,"residential","Corner store with newspaper stand"
4,4,"commercial","Hotel front desk area"
5,4,"commercial","Bank branch entrance"
6,4,"commercial","Department store section"
7,4,"downtown","Government building steps"
8,4,"downtown","Skyscraper plaza entrance"
9,4,"downtown","Skyscraper plaza entrance"
0,5,"residential","Corner store with newspaper stand"
1,5,"residential","Modern apartment building entrance"
2,5,"residential","Corner store with newspaper stand"
3,5,"residential","Small park with a playground"
4,5,"commercial","Bustling shopping district storefront"
5,5,"commercial","Cafe with outdoor tables"
6,5,"commercial","Shopping mall entrance"
7,5,"downtown","Public transportation hub"
8,5,"downtown","Convention center lobby"
9,5,"downtown","Shopping district storefront"
0,6,"residential","Small park with a playground"
1,6,"residential","Neighborhood coffee shop"
2,6,"residential","Cozy single-family home with a white picket fence"
3,6,"residential","Historic brownstone building"
4,6,"commercial","Movie theater ticket booth"
5,6,"commercial","Bustling shopping district storefront"
6,6,"commercial","Restaurant outdoor seating area"
7,6,"downtown","Busy intersection corner"
8,6,"downtown","Subway station entrance"
9,6,"downtown","Public transportation hub"
0,7,"residential","Tree-lined residential street"
1,7,"residential","Suburban house with a well-kept lawn"
2,7,"residential","Suburban house with a well-kept lawn"
3,7,"residential","Tree-lined residential street"
4,7,"park","Shaded bench area"
5,7,"park","Shaded bench area"
6,7,"park","Fountain and seating area"
7,7,"downtown","Public transportation hub"
8,7,"downtown","Subway station entrance"
9,7,"downtown","Office building atrium"
0,8,"residential","Modern apartment building entrance"
1,8,"residential","Modern apartment building entrance"
2,8,"residential","Apartment complex parking area"
3,8,"residential","Cozy single-family home with a white picket fence"
4,8,"park","Community garden plot"
5,8,"park","Small pond with ducks"
6,8,"park","Fitness equipment zone"
7,8,"downtown","Public transportation hub"
8,8,"downtown","Public transportation hub"
9,8,"downtown","Government building steps"
0,9,"residential","Modern apartment building entrance"
1,9,"residential","Small park with a playground"
2,9,"residential","Cozy single-family home with a white picket fence"
3,9,"residential","Cozy single-family home with a white picket fence"
4,9,"park","Grassy area with picnic tables"
5,9,"park","Fountain and seating area"
6,9,"park","Shaded bench area"
7,9,"downtown","Public transportation hub"
8,9,"downtown","Convention center lobby"
9,9,"downtown","City square with statues"
