x,y,type,walkable,description
0,0,sidewalk,true,"A quiet sidewalk lined with trees."
1,0,sidewalk,true,"Sidewalk with a bike rack and a bench."
2,0,sidewalk,true,"A quiet sidewalk lined with trees."
3,0,street,true,"A two-lane street with cars passing by."
4,0,sidewalk,true,"Sidewalk with a bike rack and a bench."
5,0,sidewalk,true,"Sidewalk outside a bustling cafe."
6,0,sidewalk,true,"A quiet sidewalk lined with trees."
7,0,street,true,"A two-lane street with cars passing by."
8,0,sidewalk,true,"You are on a busy sidewalk in front of a shop."
9,0,sidewalk,true,"Sidewalk outside a bustling cafe."
10,0,sidewalk,true,"You are on a busy sidewalk in front of a shop."
11,0,street,true,"A two-lane street with cars passing by."
12,0,sidewalk,true,"You are on a busy sidewalk in front of a shop."
0,1,sidewalk,true,"Sidewalk with a bike rack and a bench."
2,1,sidewalk,true,"You are on a busy sidewalk in front of a shop."
3,1,street,true,"A two-lane street with cars passing by."
4,1,sidewalk,true,"Sidewalk with a bike rack and a bench."
6,1,sidewalk,true,"A quiet sidewalk lined with trees."
7,1,street,true,"A busy avenue with traffic lights."
8,1,sidewalk,true,"A quiet sidewalk lined with trees."
10,1,sidewalk,true,"Sidewalk with a newspaper stand."
11,1,street,true,"A two-lane street with cars passing by."
12,1,sidewalk,true,"You are on a busy sidewalk in front of a shop."
0,2,sidewalk,true,"You are on a busy sidewalk in front of a shop."
1,2,sidewalk,true,"A quiet sidewalk lined with trees."
2,2,sidewalk,true,"Sidewalk with a newspaper stand."
3,2,street,true,"A busy avenue with traffic lights."
4,2,sidewalk,true,"Sidewalk outside a bustling cafe."
5,2,sidewalk,true,"A quiet sidewalk lined with trees."
6,2,sidewalk,true,"You are on a busy sidewalk in front of a shop."
7,2,street,true,"A street with a crosswalk and traffic signs."
8,2,sidewalk,true,"Sidewalk with a bike rack and a bench."
9,2,sidewalk,true,"You are on a busy sidewalk in front of a shop."
10,2,sidewalk,true,"Sidewalk with a newspaper stand."
11,2,street,true,"A busy avenue with traffic lights."
12,2,sidewalk,true,"Sidewalk outside a bustling cafe."
0,3,street,true,"A two-lane street with cars passing by."
1,3,street,true,"A street with a crosswalk and traffic signs."
2,3,street,true,"A two-lane street with cars passing by."
3,3,intersection,true,"A busy intersection with crosswalks in all directions."
4,3,street,true,"A two-lane street with cars passing by."
5,3,street,true,"A street with a crosswalk and traffic signs."
6,3,street,true,"A quiet residential street."
7,3,intersection,true,"A busy intersection with crosswalks in all directions."
8,3,street,true,"A street with a crosswalk and traffic signs."
9,3,street,true,"A two-lane street with cars passing by."
10,3,street,true,"A quiet residential street."
11,3,intersection,true,"Intersection with a traffic light and a bus stop."
12,3,street,true,"A two-lane street with cars passing by."
0,4,sidewalk,true,"You are on a busy sidewalk in front of a shop."
1,4,sidewalk,true,"Sidewalk with a newspaper stand."
2,4,sidewalk,true,"You are on a busy sidewalk in front of a shop."
3,4,street,true,"A two-lane street with cars passing by."
4,4,sidewalk,true,"Sidewalk with a bike rack and a bench."
5,4,sidewalk,true,"Sidewalk with a bike rack and a bench."
6,4,sidewalk,true,"Sidewalk outside a bustling cafe."
