x,y,type,walkable,biome,blockId,description
0,0,sidewalk,true,waterfront,0,"You are on a busy sidewalk in front of a shop."
1,0,sidewalk,true,waterfront,0,"Sidewalk with a newspaper stand."
2,0,sidewalk,true,waterfront,0,"Sidewalk with a bike rack and a bench."
0,1,sidewalk,true,waterfront,0,"You are on a busy sidewalk in front of a shop."
1,1,building,false,waterfront,0,"A cozy bakery with the smell of fresh bread."
2,1,sidewalk,true,waterfront,0,"A quiet sidewalk lined with trees."
0,2,sidewalk,true,waterfront,0,"You are on a busy sidewalk in front of a shop."
1,2,sidewalk,true,waterfront,0,"Sidewalk with a bike rack and a bench."
2,2,sidewalk,true,waterfront,0,"A quiet sidewalk lined with trees."
3,0,sidewalk,true,waterfront,1,"Sidewalk with a bike rack and a bench."
4,0,sidewalk,true,waterfront,1,"You are on a busy sidewalk in front of a shop."
5,0,sidewalk,true,waterfront,1,"You are on a busy sidewalk in front of a shop."
3,1,sidewalk,true,waterfront,1,"You are on a busy sidewalk in front of a shop."
4,1,building,false,waterfront,1,"You are inside a bustling apartment building."
5,1,sidewalk,true,waterfront,1,"A quiet sidewalk lined with trees."
3,2,sidewalk,true,waterfront,1,"Sidewalk with a bike rack and a bench."
4,2,sidewalk,true,waterfront,1,"Sidewalk with a newspaper stand."
5,2,sidewalk,true,waterfront,1,"You are on a busy sidewalk in front of a shop."
6,0,sidewalk,true,waterfront,2,"Sidewalk outside a bustling cafe."
7,0,sidewalk,true,waterfront,2,"A quiet sidewalk lined with trees."
8,0,sidewalk,true,waterfront,2,"Sidewalk with a bike rack and a bench."
6,1,sidewalk,true,waterfront,2,"A quiet sidewalk lined with trees."
7,1,building,false,waterfront,2,"A cozy bakery with the smell of fresh bread."
8,1,sidewalk,true,waterfront,2,"Sidewalk with a newspaper stand."
6,2,sidewalk,true,waterfront,2,"Sidewalk with a bike rack and a bench."
7,2,sidewalk,true,waterfront,2,"A quiet sidewalk lined with trees."
8,2,sidewalk,true,waterfront,2,"Sidewalk with a bike rack and a bench."
9,0,sidewalk,true,waterfront,3,"Sidewalk with a newspaper stand."
10,0,sidewalk,true,waterfront,3,"Sidewalk with a bike rack and a bench."
11,0,sidewalk,true,waterfront,3,"Sidewalk outside a bustling cafe."
9,1,sidewalk,true,waterfront,3,"You are on a busy sidewalk in front of a shop."
10,1,building,false,waterfront,3,"A cozy bakery with the smell of fresh bread."
11,1,sidewalk,true,waterfront,3,"Sidewalk with a bike rack and a bench."
9,2,sidewalk,true,waterfront,3,"Sidewalk with a bike rack and a bench."
10,2,sidewalk,true,waterfront,3,"Sidewalk outside a bustling cafe."
11,2,sidewalk,true,waterfront,3,"A quiet sidewalk lined with trees."
12,0,sidewalk,true,waterfront,4,"Sidewalk with a newspaper stand."
13,0,sidewalk,true,waterfront,4,"Sidewalk with a newspaper stand."
14,0,sidewalk,true,waterfront,4,"Sidewalk with a newspaper stand."
12,1,sidewalk,true,waterfront,4,"Sidewalk outside a bustling cafe."
13,1,building,false,waterfront,4,"A quiet office space with large windows."
14,1,sidewalk,true,waterfront,4,"Sidewalk with a bike rack and a bench."
12,2,sidewalk,true,waterfront,4,"Sidewalk outside a bustling cafe."
13,2,sidewalk,true,waterfront,4,"You are on a busy sidewalk in front of a shop."
14,2,sidewalk,true,waterfront,4,"Sidewalk with a bike rack and a bench."
15,0,sidewalk,true,waterfront,5,"You are on a busy sidewalk in front of a shop."
16,0,sidewalk,true,waterfront,5,"A quiet sidewalk lined with trees."
17,0,sidewalk,true,waterfront,5,"Sidewalk with a newspaper stand."
15,1,sidewalk,true,waterfront,5,"You are on a busy sidewalk in front of a shop."
16,1,building,false,waterfront,5,"A small grocery store packed with goods."
17,1,sidewalk,true,waterfront,5,"A quiet sidewalk lined with trees."
15,2,sidewalk,true,waterfront,5,"A quiet sidewalk lined with trees."
16,2,sidewalk,true,waterfront,5,"Sidewalk with a newspaper stand."
17,2,sidewalk,true,waterfront,5,"Sidewalk outside a bustling cafe."
