x,y,type,walkable,description
0,0,sidewalk,true,"You are on a busy sidewalk in front of a shop."
1,0,sidewalk,true,"Sidewalk with a bike rack and a bench."
2,0,sidewalk,true,"A quiet sidewalk lined with trees."
3,0,sidewalk,true,"A quiet sidewalk lined with trees."
4,0,sidewalk,true,"Sidewalk with a newspaper stand."
5,0,sidewalk,true,"Sidewalk with a bike rack and a bench."
6,0,sidewalk,true,"You are on a busy sidewalk in front of a shop."
7,0,sidewalk,true,"Sidewalk with a newspaper stand."
8,0,sidewalk,true,"A quiet sidewalk lined with trees."
9,0,sidewalk,true,"You are on a busy sidewalk in front of a shop."
10,0,sidewalk,true,"A quiet sidewalk lined with trees."
11,0,sidewalk,true,"Sidewalk with a newspaper stand."
12,0,sidewalk,true,"You are on a busy sidewalk in front of a shop."
0,1,sidewalk,true,"Sidewalk with a newspaper stand."
1,1,building,true,"A quiet office space with large windows."
2,1,sidewalk,true,"Sidewalk with a bike rack and a bench."
3,1,sidewalk,true,"Sidewalk with a newspaper stand."
4,1,building,true,"You are inside a bustling apartment building."
5,1,sidewalk,true,"You are on a busy sidewalk in front of a shop."
6,1,sidewalk,true,"Sidewalk with a newspaper stand."
7,1,building,true,"A small grocery store packed with goods."
8,1,sidewalk,true,"Sidewalk with a newspaper stand."
9,1,sidewalk,true,"Sidewalk with a bike rack and a bench."
10,1,building,true,"A small grocery store packed with goods."
11,1,sidewalk,true,"You are on a busy sidewalk in front of a shop."
12,1,sidewalk,true,"A quiet sidewalk lined with trees."
0,2,sidewalk,true,"Sidewalk outside a bustling cafe."
1,2,sidewalk,true,"Sidewalk with a newspaper stand."
2,2,sidewalk,true,"Sidewalk with a newspaper stand."
3,2,sidewalk,true,"Sidewalk with a newspaper stand."
4,2,sidewalk,true,"You are on a busy sidewalk in front of a shop."
5,2,sidewalk,true,"Sidewalk outside a bustling cafe."
6,2,sidewalk,true,"A quiet sidewalk lined with trees."
7,2,sidewalk,true,"Sidewalk with a newspaper stand."
8,2,sidewalk,true,"Sidewalk outside a bustling cafe."
9,2,sidewalk,true,"Sidewalk outside a bustling cafe."
10,2,sidewalk,true,"Sidewalk outside a bustling cafe."
11,2,sidewalk,true,"Sidewalk with a newspaper stand."
12,2,sidewalk,true,"You are on a busy sidewalk in front of a shop."
0,3,sidewalk,true,"A quiet sidewalk lined with trees."
1,3,sidewalk,true,"Sidewalk outside a bustling cafe."
2,3,sidewalk,true,"Sidewalk with a newspaper stand."
3,3,sidewalk,true,"Sidewalk with a newspaper stand."
4,3,sidewalk,true,"A quiet sidewalk lined with trees."
5,3,sidewalk,true,"Sidewalk with a bike rack and a bench."
6,3,sidewalk,true,"A quiet sidewalk lined with trees."
7,3,sidewalk,true,"You are on a busy sidewalk in front of a shop."
8,3,sidewalk,true,"Sidewalk outside a bustling cafe."
9,3,sidewalk,true,"Sidewalk with a bike rack and a bench."
10,3,sidewalk,true,"A quiet sidewalk lined with trees."
11,3,sidewalk,true,"Sidewalk outside a bustling cafe."
12,3,sidewalk,true,"Sidewalk outside a bustling cafe."
0,4,sidewalk,true,"A quiet sidewalk lined with trees."
1,4,building,true,"A cozy bakery with the smell of fresh bread."
2,4,sidewalk,true,"Sidewalk with a newspaper stand."
3,4,sidewalk,true,"Sidewalk with a newspaper stand."
4,4,building,true,"A cozy bakery with the smell of fresh bread."
5,4,sidewalk,true,"You are on a busy sidewalk in front of a shop."
6,4,sidewalk,true,"You are on a busy sidewalk in front of a shop."
7,4,building,true,"A quiet office space with large windows."
8,4,sidewalk,true,"Sidewalk with a bike rack and a bench."
9,4,sidewalk,true,"Sidewalk outside a bustling cafe."
10,4,building,true,"You are inside a bustling apartment building."
11,4,sidewalk,true,"You are on a busy sidewalk in front of a shop."
12,4,sidewalk,true,"Sidewalk with a newspaper stand."
0,5,sidewalk,true,"Sidewalk outside a bustling cafe."
1,5,sidewalk,true,"You are on a busy sidewalk in front of a shop."
2,5,sidewalk,true,"Sidewalk with a bike rack and a bench."
3,5,sidewalk,true,"You are on a busy sidewalk in front of a shop."
4,5,sidewalk,true,"Sidewalk with a bike rack and a bench."
5,5,sidewalk,true,"Sidewalk with a newspaper stand."
6,5,sidewalk,true,"Sidewalk with a bike rack and a bench."
7,5,sidewalk,true,"A quiet sidewalk lined with trees."
8,5,sidewalk,true,"Sidewalk with a bike rack and a bench."
9,5,sidewalk,true,"Sidewalk with a newspaper stand."
10,5,sidewalk,true,"Sidewalk outside a bustling cafe."
